formula,composition_str,gap pbe
BaFe(Si2O5)2,Ba2 Fe2 Si8 O20,3.4805
PbSe2,Pb2 Se4,0.0
AlPS4,Al2 P2 S8,2.6141
Ce3In4Ge,Ce6 In8 Ge2,0.0
Li10B14Cl2O25,Li10 B14 O25 Cl2,6.425800000000001
Ca13Y6F43,Ca13 F43 Y6,0.6283000000000003
Mn3FeO8,Mn6 Fe2 O16,0.0
Li3Ti2Mn5O12,Li9 Ti6 Mn15 O36,0.5962000000000001
Cs2LiInCl6,Cs4 Li2 In2 Cl12,3.2276
Tl5SnF9,Tl10 Sn2 F18,2.9199
Te2Mo(WSe2)3,Te2 Mo1 W3 Se6,0.7454000000000001
Nb3AlSnMo3,Nb3 Al1 Sn1 Mo3,0.0
Be3Cd4Si3SO12,Be6 O24 Si6 S2 Cd8,0.8171999999999999
Li9Mn2Co5O16,Li9 Mn2 Co5 O16,0.4708999999999999
Ba3(ZnAs2)2,Ba3 Zn2 As4,0.0134000000000003
Rb2HgSbI6,Rb2 Hg1 Sb1 I6,0.0
Yb2V2O7,O14 V4 Yb4,0.0
P2WO7,P4 W2 O14,3.0944
Si3(TeO6)2,Si12 Te8 O48,2.7839
LiSn(PO3)4,Li4 Sn4 P16 O48,0.08929999999999971
Pr7In6Ni5Ge3,Pr7 In6 Ni5 Ge3,0.0
HoAl3(BO3)4,Ho2 Al6 B8 O24,5.501200000000001
ScGeRh,Sc3 Ge3 Rh3,0.0
KHg2S(ClO)3,K2 Hg4 S2 Cl6 O6,2.6843
LiFe2(BO3)2,Li4 Fe8 B8 O24,1.7136
La2GaN3,La8 Ga4 N12,1.8087999999999997
Sr2MnP3O11,Sr8 Mn4 P12 O44,1.1032000000000002
LiVWO6,Li2 V2 W2 O12,2.8724999999999996
Li6RuN4,Li12 Ru2 N8,0.0
NaHO,Na4 H4 O4,3.114
Sr10Mg5Mo(W2O15)2,Sr10 Mg5 Mo1 W4 O30,2.5890000000000004
Pb2CO4,Pb8 C4 O16,3.4126999999999996
VZn2WO6,V2 Zn4 W2 O12,1.6694999999999998
YTl(WO4)2,Y2 Tl2 W4 O16,3.0698000000000003
BaPr2Mn3O9,Ba2 Pr4 Mn6 O18,0.0
VCl2O,V2 Cl4 O2,1.6191
CsPbCl3,Cs2 Pb2 Cl6,2.413
AsC4S4N4Cl2O2F5,As4 C16 S16 N16 Cl8 O8 F20,1.4993999999999998
Sr2TiMoO6,Sr2 Ti1 Mo1 O6,0.0
Ca19Ag8N7,N7 Ca19 Ag8,0.0
CaH8(NO5)2,Ca4 H32 N8 O40,3.4974999999999996
NaNbO3,Na2 Nb2 O6,3.8336
Ho3MnB7,Ho6 Mn2 B14,0.0
Cs2NaMoBr6,Cs2 Na1 Mo1 Br6,1.3505999999999998
La2Ni2O5,La8 Ni8 O20,1.9900000000000002
Sr(BeN)2,Be4 N4 Sr2,1.8494000000000002
Na4Co3P4O15,Na16 Co12 P16 O60,2.8768
Li2MnV(PO4)3,Li4 Mn2 V2 P6 O24,1.0833
Na4H20RuS4(NO9)2,Na8 H40 Ru2 S8 N4 O36,3.3169
La9Al5Se21,La18 Al10 Se42,1.6888000000000005
LiTiPd2,Li1 Ti1 Pd2,0.0
Al2CoO4,Al16 Co8 O32,0.0
Li2VPO4F,Li16 V8 P8 O32 F8,2.6846
NbSI,Nb4 S4 I4,0.0
Mn3Ge,Mn3 Ge1,0.0
NiH32C4S2(NO8)2,Ni4 H128 C16 S8 N8 O64,4.9916
Cs2RbInBr6,Cs2 Rb1 In1 Br6,2.5058
KCrH24(SO10)2,K4 Cr4 H96 S8 O80,3.7063
Sr3Ga4O9,O18 Ga8 Sr6,2.8861
Li4Cr3P4O15,Li16 Cr12 P16 O60,2.6174
Ba6Bi2(TeO6)3,Ba6 Bi2 Te3 O18,2.1740999999999997
Ti3Sb,Ti6 Sb2,0.0
GdDyNi2,Gd1 Dy1 Ni2,0.0
ZrFeGe2,Zr12 Fe12 Ge24,0.0
Li2VP2O7,Li8 V4 P8 O28,2.455
ZnCu2H4(SO4)2,Zn2 Cu4 H8 S4 O16,3.0791
MgU(MoO4)4,Mg2 U2 Mo8 O32,1.8603
LiFe4OF7,Li2 Fe8 O2 F14,2.5323
PbS,Pb1 S1,0.46720000000000006
Yb2Cu4As3,Cu16 As12 Yb8,0.03440000000000065
Th5Sn4,Th20 Sn16,0.0
TeP2H16N2O13,Te2 P4 H32 N4 O26,3.7525
LaMnFeSi2,La1 Mn1 Fe1 Si2,0.0
Sr3FeRuO7,Sr3 Fe1 Ru1 O7,0.0
Nd2PbSe4,Nd4 Pb2 Se8,1.6597000000000004
K2ZnP2O7,O28 P8 K8 Zn4,4.129
CuHgSI,Hg4 I4 Cu4 S4,0.4445999999999999
SmZnPd,Sm3 Zn3 Pd3,0.0
CeZnNi,Ce3 Zn3 Ni3,0.0
La4Bi3,La8 Bi6,0.0
TeO2,O8 Te4,3.0604
SrMg30AlO32,Sr1 Mg30 Al1 O32,0.4602000000000004
CdIn2SeS3,Cd2 In4 Se2 S6,0.6742999999999997
YCu5,Cu5 Y1,0.0
CaF3,Ca1 F3,0.0
NaLa2Mn3O9,Na1 La2 Mn3 O9,0.0
NbCoSb,Co1 Nb1 Sb1,0.0
PC2S2N3,P24 C48 S48 N72,3.2771
MgBeAl4O8,Mg4 Be4 Al16 O32,5.5283999999999995
Li2CoGeO4,Li4 Co2 Ge2 O8,2.402
V4O5F7,V4 O5 F7,1.417
AsAuO4,As2 Au2 O8,1.7494999999999998
K2Pt(NO2)4,K8 Pt4 N16 O32,1.9671
MnSO3,O24 S8 Mn8,4.0952
Li5BO4,Li40 B8 O32,5.3981
CsMgBO3,Cs16 Mg16 B16 O48,3.1495999999999995
Li5Ti2V3O10,Li5 Ti2 V3 O10,0.29849999999999977
Mn5O3F5,Mn5 O3 F5,0.0
K2NaAs,As2 K4 Na2,0.15169999999999995
TiCo3O8,Ti1 Co3 O8,1.1234
ErFe4B,Er2 Fe8 B2,0.0
PrGeAu,Pr2 Ge2 Au2,0.0
NaNd(Si2O5)3,Na2 Nd2 Si12 O30,0.0
GaGeS4,Ga4 Ge4 S16,0.005300000000000082
Ti2Fe,Ti16 Fe8,0.0
Ti4FeCoS8,Ti4 Fe1 Co1 S8,0.0
Li6FeO4F,Li12 Fe2 O8 F2,2.7084
CoNi3,Co2 Ni6,0.0
Tm3Mg,Tm6 Mg2,0.0
CsSmMnSe3,Cs2 Sm2 Mn2 Se6,0.504
BaSi2O5,O30 Si12 Ba6,4.8574
LiDySe2,Dy2 Li2 Se4,1.5621999999999998
Sn5Sb2S9,S36 Sn20 Sb8,0.5992999999999995
Tl5BrCl4,Tl5 Br1 Cl4,2.366
Bi2H24C6(NCl3)3,Bi8 H96 C24 N12 Cl36,3.341
Zn(ReO4)2,O8 Zn1 Re2,3.9894
Sb2(S2O7)3,O42 S12 Sb4,4.1996
Li3MnB4O9,Li6 Mn2 B8 O18,0.7447999999999999
CuAsO3,Cu2 As2 O6,0.0
SmGa2Co,Sm2 Ga4 Co2,0.0
Na3SiH5O6,Na24 Si8 H40 O48,3.8850999999999996
Al2FeO4,Al24 Fe12 O48,0.5154000000000005
Li4Co3O7,Li8 Co6 O14,0.0
FeSeBr7,Fe2 Se2 Br14,0.9852
Tm2P4O13,Tm8 P16 O52,5.467899999999999
Mg30CoCuO32,Mg30 Co1 Cu1 O32,2.0479000000000003
ErAl,Er8 Al8,0.0
ErCdCu4,Cu4 Cd1 Er1,0.0
B2P6H60Ir2C18O3F8,B2 P6 H60 Ir2 C18 O3 F8,1.0821
Li2MnVP2(HO5)2,Li6 Mn3 V3 P6 H6 O30,0.49140000000000006
Ba(H2O3)2,Ba2 H8 O12,0.2549
K2(NbBr3)3,K4 Br18 Nb6,1.0937000000000001
TaNb2Zn2O8,Ta2 Nb4 Zn4 O16,0.03289999999999971
CaFe3Si2O9,Ca4 Fe12 Si8 O36,1.2586999999999997
LiCu2PO4,Li4 Cu8 P4 O16,0.6086
NaTmGeO4,O16 Na4 Ge4 Tm4,3.6137
Ho(Al5Re)2,Ho6 Al60 Re12,0.0
U2NiGe2Pd,U4 Ni2 Ge4 Pd2,0.0
Y2Mn3Si5,Y8 Mn12 Si20,0.0
Ca2NiOsO6,O12 Ca4 Ni2 Os2,0.0
Tb2S3,Tb8 S12,0.7450999999999999
DyGa3,Dy2 Ga6,0.0
Ti5Fe11O24,Ti5 Fe11 O24,1.1496
HoGeAu,Ge1 Ho1 Au1,0.0
Na2Mg2NiH6,Na8 Mg8 Ni4 H24,1.7421000000000002
MgPt,Mg4 Pt4,0.0
Fe3P3O11,Fe12 O44 P12,1.5595
La3Ga5SiO14,La3 Ga5 Si1 O14,3.6863
RbSnCl3,Rb1 Sn1 Cl3,0.9881000000000002
Cu8SiSe6,Si2 Cu16 Se12,0.4090000000000007
Ho2Mn3Sb3O14,Ho2 Mn3 Sb3 O14,0.8981999999999992
KFeF4,K8 Fe8 F32,3.0627
CuH4SeO5,Cu4 H16 Se4 O20,0.0
Ca6Mg5Al2Si11O36,Ca6 Mg5 Al2 Si11 O36,4.8512
Li3Fe4(BO3)4,Li6 Fe8 B8 O24,1.3159999999999998
ErCu5Sn,Er4 Cu20 Sn4,0.0
Er3B5O12,Er12 B20 O48,5.3497
CsMnO4,O16 Mn4 Cs4,2.2208
La3AgGeS7,La6 Ag2 Ge2 S14,1.9759000000000002
Cs2KMoCl6,Cs2 K1 Mo1 Cl6,1.6671000000000002
Rb3DyF6,Rb3 Dy1 F6,5.742
LiTiV2O6,Li1 Ti1 V2 O6,1.0217999999999998
La3NbSe2(O2F)2,La12 Nb4 Se8 O16 F8,1.4329999999999998
CdI2,Cd10 I20,2.3339
Mg2BN2Cl,Mg16 B8 N16 Cl8,3.6701
DyAgSn2,Dy1 Ag1 Sn2,0.0
Mg(NO3)2,Mg12 N24 O72,3.4662
Er3Ga8Rh3,Er3 Ga8 Rh3,0.0
VPO5,O20 P4 V4,1.8954
V6O5F19,V6 O5 F19,2.041
V4HC3,V4 H1 C3,0.0
RbMn4(PO4)3,Rb4 Mn16 P12 O48,3.3575999999999997
Ce6Mg23Ge,Ce6 Mg23 Ge1,0.0
Mn2Cr3Co3O16,Mn2 Cr3 Co3 O16,0.0
EuV2BiO8,Eu1 V2 Bi1 O8,0.0
CeErMg2,Ce1 Er1 Mg2,0.0
Lu2S3,S6 Lu4,2.5704000000000002
NaCaAlFe(SiO3)4,Na3 Ca3 Al3 Fe3 Si12 O36,3.0099
LiPrHg2,Li1 Pr1 Hg2,0.0
Mn5Nb(PO4)6,Mn5 Nb1 P6 O24,0.0
MnV2O4,Mn4 V8 O16,0.8494000000000002
VNiGe,V4 Ni4 Ge4,0.0
YCo4B,B2 Co8 Y2,0.0
LiFeF5,Li4 Fe4 F20,1.2092000000000005
Na2BiO3,Na8 Bi4 O12,1.1840000000000002
LuAg3,Lu1 Ag3,0.0
Na8CoO6,Na16 Co2 O12,0.9511
Mn7P12WO48,Mn7 P12 W1 O48,0.0
Li2FeNi(PO4)2,Li4 Fe2 Ni2 P4 O16,3.0236
LiSbP2O7,Li2 O14 P4 Sb2,3.3047000000000004
GaI2,Ga12 I24,2.3766
Mn2CrO4,Mn8 Cr4 O16,0.34850000000000003
Li4Cr3GaO8,Li8 Cr6 Ga2 O16,3.1494
Ca2SnS4,Ca6 Sn3 S12,0.8649000000000004
Li7Mn2(CoO4)3,Li7 Mn2 Co3 O12,0.4234
LiCuPO4,Li12 Cu12 P12 O48,0.0
Sm(NiP)2,Sm1 Ni2 P2,0.0
Mg14VCd,Mg14 V1 Cd1,0.0
Te2W3S4,Te2 W3 S4,0.0
Ce2BiN,Ce4 Bi2 N2,0.0
Ca4Ni20H,Ca4 Ni20 H1,0.0
LiTbO2,Li4 O8 Tb4,4.5467
Rb2LiNdF6,Rb2 Li1 Nd1 F6,6.6083
EuTe,Eu1 Te1,0.0
Li9Mn2Co5O16,Li9 Mn2 Co5 O16,0.01059999999999972
Ti11H7O24,Ti11 H7 O24,0.0
MgAl2O4,Al28 Mg14 O56,4.326599999999999
Li3V4P2O8F9,Li6 V8 P4 O16 F18,1.9562000000000002
Mn3B7IO13,Mn6 B14 I2 O26,3.7514
Y4(Mo2O7)3,Y8 Mo12 O42,0.45279999999999987
LiMoP2O7,Li4 Mo4 P8 O28,3.9696000000000007
Sr4Re2NiO12,O12 Ni1 Sr4 Re2,1.866
VZn2WO6,V1 Zn2 W1 O6,0.6469000000000005
BaAl2(SiO4)2,Ba1 Al2 Si2 O8,4.9061
LiFeCO4,Li4 Fe4 C4 O16,1.9245999999999999
Eu2MgH6,Eu2 Mg1 H6,0.24760000000000026
KCdGeAs2,K4 Cd4 Ge4 As8,0.6342000000000001
Co3(SnS)2,Co3 Sn2 S2,0.0
Cs2InSbI6,Cs2 In1 Sb1 I6,0.0
Na3Nd(AsO4)2,Na24 Nd8 As16 O64,3.5957000000000003
ZnGeN2,Zn4 Ge4 N8,1.5234999999999999
SbPdSe,Se4 Pd4 Sb4,0.0
Li2Ti3BiO8,Li2 Ti3 Bi1 O8,0.0
In2Mo15Se19,In4 Mo30 Se38,0.0
V2NiO6,V2 Ni1 O6,1.7371
BaU(PS4)2,Ba4 U4 P8 S32,0.038200000000000234
Ba2Sr3Nb10O30,Ba2 Sr3 Nb10 O30,2.3448
Tb12(MnC3)5,Tb12 Mn5 C15,0.0
AlPd2,Al4 Pd8,0.0
Mg2SiO4,O16 Mg8 Si4,4.6395
CaMg14VO16,Ca1 Mg14 V1 O16,1.8418999999999999
Na3Ti8O16,Na6 Ti16 O32,0.0
BaCdGeS4,S32 Ge8 Cd8 Ba8,2.7009
Sr3CaV4O12,Sr3 Ca1 V4 O12,0.0
ZrBi,Zr6 Bi6,0.0
Fe5O3F7,Fe10 O6 F14,1.2357000000000002
Mn5Fe5Si6,Mn5 Fe5 Si6,0.0
Cs2P3,P6 Cs4,0.8419000000000003
K2LiErCl6,K2 Li1 Er1 Cl6,5.0496
NdCuGe,Nd1 Cu1 Ge1,0.0
Sr10Ca4Cu10Bi11O40,Sr10 Ca4 Cu10 Bi11 O40,0.0
CsMo(PO4)2,Cs4 Mo4 P8 O32,2.4424
Cr2P3O13,Cr8 O52 P12,0.0
H5NO,H20 N4 O4,4.8125
Mg3Cd,Mg12 Cd4,0.0
CeSbAu,Ce2 Sb2 Au2,0.0
BaPPd,Ba4 P4 Pd4,0.33740000000000014
HoSbRh,Ho4 Sb4 Rh4,0.0
La3LuBeS7,La6 Lu2 Be2 S14,1.4936999999999996
CaMg14Co,Ca1 Mg14 Co1,0.0
Cu2Hg2SF6,F12 S2 Cu4 Hg4,0.0
Cd4B6O13,Cd4 B6 O13,2.4314
CsNd(PO3)4,Cs4 Nd4 P16 O48,5.493200000000001
K2Sn(S2O7)3,K4 Sn2 S12 O42,3.4297
Nd3Sc2(FeO4)3,Nd12 Sc8 Fe12 O48,2.1442
UGaPt,U3 Ga3 Pt3,0.0
ZnNi3,Zn1 Ni3,0.0
HgAsPd5,Hg1 As1 Pd5,0.0
BaAg,Ag4 Ba4,0.0
CsBeF3,Be4 F12 Cs4,6.644299999999999
Pr(ZnAs)3,Pr2 Zn6 As6,0.030899999999999928
Gd2In,Gd4 In2,0.0
Li4Mn5V(PO4)6,Li4 Mn5 V1 P6 O24,0.08599999999999985
YIn2Ni,Ni2 Y2 In4,0.0
LaSc3(BO3)4,B8 O24 Sc6 La2,4.2334
Ca8Al11Fe(Si3O13)4,Ca8 Al11 Fe1 Si12 O52,0.0
Li7Mn10Cr6O32,Li7 Mn10 Cr6 O32,0.0
KCrCuF6,Cu4 Cr4 K4 F24,0.3488
NaZnAs,As1 Na1 Zn1,0.0
Tm6Al43Mo4,Tm12 Al86 Mo8,0.0
Co(SiP)3,Co4 Si12 P12,1.2515999999999998
Fe2(PO4)3,Fe8 P12 O48,0.0
NaCuO2,Na1 Cu1 O2,0.009200000000000319
CeSe2,Ce4 Se8,0.9938
AgH12C6N13O3,Ag2 H24 C12 N26 O6,3.1725
Li2MnVP2(HO5)2,Li4 Mn2 V2 P4 H4 O20,0.5762
K2NaGaF6,K2 Na1 Ga1 F6,5.9471
LiNiPO4,Li4 Ni4 P4 O16,3.3388000000000004
MgIn2,Mg2 In4,0.0
Li2CoOF3,Li4 Co2 O2 F6,1.1839
BaTb2ZnO5,O20 Zn4 Ba4 Tb8,3.0505999999999998
Ba2SnTe5,Ba8 Sn4 Te20,0.0
HfMg30BO31,Hf1 Mg30 B1 O31,0.8408999999999995
Eu2ZnP2,Eu4 Zn2 P4,0.0
Mg6AlSn,Mg6 Al1 Sn1,0.0
La3MnAlS7,La6 Mn2 Al2 S14,1.2419000000000002
Li4Co(OF)2,Li4 Co1 O2 F2,1.8577999999999997
SmSiOs2C,Sm2 Si2 Os4 C2,0.0
Ag2Se,Ag8 Se4,1.7035
Ca2Si,Si4 Ca8,0.2911999999999999
K2TeI6,K4 Te2 I12,1.7434999999999998
MgZn3,Mg1 Zn3,0.0
SrBi3I3O4,Sr1 Bi3 I3 O4,0.0
PaGaPt2,Pa1 Ga1 Pt2,0.0
Zr3Sc4O12,O60 Sc20 Zr15,3.9251
Li2ZnGeO4,Li4 O8 Zn2 Ge2,3.1053
Na5Bi(P2O7)2,Na10 Bi2 P8 O28,4.2843
Ca3Mo2O7,Ca6 Mo4 O14,1.5118
Li3Mn2CoO6,Li3 Mn2 Co1 O6,0.0
ZnH10C2S3(N3O2)2,Zn2 H20 C4 S6 N12 O8,3.7675
Sn9Pd13,Sn27 Pd39,0.06240000000000023
Sr4LaCl11,Sr4 La1 Cl11,1.8224
FeP2HO7,Fe4 P8 H4 O28,2.4135
Li2VCrP2(HO5)2,Li6 V3 Cr3 P6 H6 O30,1.6957000000000004
ZnNi2P2O9,Zn4 Ni8 P8 O36,0.0
Ba2Ca2Cu3HgO8,O8 Ca2 Cu3 Ba2 Hg1,0.0
Cs2NaTbF6,Cs2 Na1 Tb1 F6,6.8587
BaMoI4O15,Ba4 Mo4 I16 O60,1.1917
CrBiO5,Cr4 Bi4 O20,0.0
K2AgBiI6,K2 Ag1 Bi1 I6,0.8096000000000001
Rb6U5V2O23,Rb12 U10 V4 O46,1.747
Ce3Pa,Ce6 Pa2,0.0
RbSO4,Rb8 S8 O32,0.10739999999999994
Li2Cr3NiO8,Li2 Cr3 Ni1 O8,0.4205000000000001
NaMg30AlO32,Na1 Mg30 Al1 O32,4.6727
CaCO3,Ca6 C6 O18,4.9095
CaH8C2N4O5,Ca2 H16 C4 N8 O10,4.9929
Ge3(SbO3)4,Ge6 Sb8 O24,3.3567
Rb2TlBiF6,Rb2 Tl1 Bi1 F6,3.1068
NdZnAsO,O2 Zn2 As2 Nd2,0.8621999999999996
Li4V3(OF2)4,Li4 V3 O4 F8,1.384
Li5(CoO2)4,Li20 Co16 O32,0.6114999999999999
CaFeO2,O4 Ca2 Fe2,0.04020000000000046
NbCu3Te4,Nb1 Cu3 Te4,0.9408000000000003
MnCr8Cu3S16,Mn1 Cr8 Cu3 S16,0.0
SrLaVFeO6,Sr1 La1 V1 Fe1 O6,0.0
HfNi3,Ni30 Hf10,0.0
Cu19Se11,Cu19 Se11,0.0
Sr2MgIn,Sr2 Mg1 In1,0.0
YSn2,Y2 Sn4,0.0
LiV2O3F,Li4 V8 O12 F4,1.0092000000000003
Ba3P2(SeO)4,Ba6 P4 Se8 O8,1.4203000000000001
Ca2Cr9O13,Ca2 Cr9 O13,0.44099999999999984
Cs3Y(PO4)2,Cs12 Y4 P8 O32,4.4731000000000005
Na5Cr3F14,Na10 Cr6 F28,2.9191000000000003
Al2O3,O6 Al4,5.853700000000001
Rb15W7N19,Rb30 W14 N38,1.426
NaMg,Na2 Mg2,0.0
U8TiS17,U8 Ti1 S17,0.0
CeMg2,Ce4 Mg8,0.0
Yb2ZnGe,Yb2 Zn1 Ge1,0.043700000000000294
ScCdRh2,Sc1 Cd1 Rh2,0.0
Li2CuNi(PO4)2,Li4 Cu2 Ni2 P4 O16,0.0
Na2TbO3,O12 Na8 Tb4,0.0
CuI,Cu4 I4,1.1452
Mn12SiP3,Mn12 Si1 P3,0.0
RbAl(H2N)4,Rb2 Al2 H16 N8,2.5643000000000002
SmBr3,Br6 Sm2,2.9285
BaVClO3,Ba4 V4 Cl4 O12,2.3881
CrPO4,Cr4 P4 O16,1.3818000000000001
MgCo2Si,Mg1 Co2 Si1,0.0
Li8Nd7Ge10,Li8 Nd7 Ge10,0.0
Ce5Bi3,Ce10 Bi6,0.0
ZnSi4NiO10,Zn4 Si16 Ni4 O40,0.001100000000000101
Mn3OF5,Mn6 O2 F10,0.0
NaTb(Pd3O4)2,Na1 Tb1 Pd6 O8,0.0
Pr4Se3(O5F3)2,Pr8 Se6 O20 F12,3.9852
Cs3Bi2Br9,Cs6 Bi4 Br18,2.6140999999999996
U(NiP)2,P2 Ni2 U1,0.0
Li2Mn(Si2O5)2,Li8 Mn4 Si16 O40,3.5734000000000004
Te2W2SeS,Te4 W4 Se2 S2,0.0
Tm5Ir3,Tm20 Ir12,0.0
Ba2Li(CuO2)3,Li2 O12 Cu6 Ba4,0.0
Li7Ti7Nb5O30,Li7 Ti7 Nb5 O30,2.1219
Nd17Au36,Nd34 Au72,0.0
LiV6O7F5,Li1 V6 O7 F5,1.3164999999999996
Gd2Ti12(CuO4)9,Gd2 Ti12 Cu9 O36,0.0
Mg14AlFeO16,Mg14 Al1 Fe1 O16,0.46009999999999884
Li3Bi(BO3)2,Li12 Bi4 B8 O24,3.3808000000000007
Ca2Mn3O8,O8 Ca2 Mn3,1.4426999999999999
Ag5Te2Cl,Ag80 Te32 Cl16,0.7464
CuHgSeBr,Cu4 Hg4 Se4 Br4,0.4629000000000001
La2P3H7O11,La4 P6 H14 O22,4.4891000000000005
Tb5(In2Pd)2,Tb10 In8 Pd4,0.0
Sr2LaGaO5,Sr4 La2 Ga2 O10,3.3597
Fe3CuNi2(PO4)6,Fe3 Cu1 Ni2 P6 O24,0.0
Yb2Ru,Yb2 Ru1,0.0
Li9Mn2Co5O16,Li9 Mn2 Co5 O16,0.3971999999999998
LaAg2Sn,La1 Ag2 Sn1,0.0
Ce5Si3,Ce10 Si6,0.0
Li2V2(PO4)3,Li8 O48 P12 V8,0.0037000000000002586
Mg3Fe3O8,Mg3 Fe3 O8,0.0
Co2OF3,Co8 O4 F12,0.6955
UCo4B,U2 Co8 B2,0.0
Mn3GaN,Mn3 Ga1 N1,0.0
BaBiO3,Ba4 Bi4 O12,0.0
Li9Co7O16,Li9 Co7 O16,0.653
Mn3O5F,Mn6 O10 F2,0.0
Li4Mn3Cr2Sn(PO4)6,Li4 Mn3 Cr2 Sn1 P6 O24,1.9009000000000005
Sm2Ge2Rh,Sm4 Ge4 Rh2,0.0
La16(Mo3O8)7,La32 Mo42 O112,0.6152000000000006
Ge23Mo13,Ge92 Mo52,0.0
Mn(FeO2)2,O8 Mn2 Fe4,0.9977000000000005
Na5Ni2P2(CO7)2,Na10 Ni4 P4 C4 O28,0.0
La3B5O12,La12 B20 O48,3.8196
Cr30As11C4,Cr30 As11 C4,0.0
Cr3Ga4,Cr9 Ga12,0.0
Yb5Al17(Fe2Si3)2,Yb5 Al17 Fe4 Si6,0.0
YMg6Zr,Y1 Mg6 Zr1,0.0
Cr4Co3(PO4)6,O24 P6 Cr4 Co3,2.0835999999999997
Dy,Dy4,0.0
RbPH3O4F,Rb4 P4 H12 O16 F4,5.7119
NaNi4H9(CO5)3,Na2 Ni8 H18 C6 O30,3.7179
Li3MnV(PO4)3,Li12 Mn4 V4 P12 O48,0.44619999999999993
Tm4Ga12Pd,Tm4 Ga12 Pd1,0.0
Ba10Er5Cu15O34,Ba10 Er5 Cu15 O34,0.0
YbHO2,Yb4 H4 O8,0.0
TlCuHCO4,Tl6 Cu6 H6 C6 O24,0.3826999999999998
LaNb8O14,La2 Nb16 O28,0.0
Cs2Pr10Os2I17,Cs2 Pr10 Os2 I17,0.005700000000000038
Li4MnCo2O7,Li8 Mn2 Co4 O14,0.0
Li10Ti11Cr9O40,Li10 Ti11 Cr9 O40,0.0
Li6Mn3Nb(PO4)6,Li6 Mn3 Nb1 P6 O24,0.7097
Sr2LiMgSi3,Sr4 Li2 Mg2 Si6,0.0
KTbH2C2SO9,K4 Tb4 H8 C8 S4 O36,3.0354
Nd25(B7C13)2,Nd50 B28 C52,0.0
CeTlAg2,Ce1 Tl1 Ag2,0.0
Y4C4I3Br,Y4 C4 I3 Br1,0.0
KSb2F7,F28 K4 Sb8,4.1611
Co3Sn2,Co3 Sn2,0.0
